category,group,name,experience,level
Electrónica,Analógico/Digital,Filtros analógicos / digitales,+15 años,Experto
Electrónica,Analógico/Digital,Fuentes switching,+15 años,Experto
Electrónica,Displays,LCD / TFT Color / OLED,+15 años,Experto
Electrónica,Microcontroladores,Espressif ESP32,+5 años,Experto
Electrónica,Microcontroladores,Raspberry RP2040/2350,+3 años,Experto
Electrónica,Microcontroladores,Nordic nRF,+1 años,Intermedio
Electrónica,Microcontroladores,STM32,+2 años,Intermedio
Electrónica,Microcontroladores (Legacy),Motorola HC08,+10 años,Experto
Electrónica,Microcontroladores (Legacy),Atmel AVR / Xmega / UC3,+15 años,Experto
Electrónica,Microcontroladores (Legacy),Texas MSP430,+3 años,Intermedio
Informática,RTOS,FreeRTOS,+5 años,Experto
Informática,RTOS,Zephyr,+2 años,Intermedio
Informática,RTOS,NuttX,+2 años,Intermedio
Informática,RTOS,Mbed,+2 años,Intermedio
Electrónica,PCB,OrCAD,+15 años,Experto
Electrónica,PCB,KiCad,+5 años,Experto
Electrónica,PCB,Altium,+2 años,Intermedio
Electrónica,PCB,Proteus,+15 años,Experto
Informática,CAD Mecánico,OpenSCAD,+5 años,Experto
Informática,CAD Mecánico,Rhinoceros,+5 años,Intermedio
Redes,Buses de campo,CAN,+5 años,Experto
Redes,Buses de campo,RS-232,+20 años,Experto
Redes,Buses de campo,RS-485,+20 años,Experto
Redes,Buses de campo,4-20mA,+20 años,Experto
Redes,Buses de campo,Fieldbus,+2 años,Intermedio
Redes,Buses de campo,Profibus,+2 años,Intermedio
Electrónica,Instrumentación Industrial,Industrial y Control,+10 años,Experto
Electrónica,Instrumentación de Laboratorio,Osciloscopios,+20 años,Experto
Electrónica,Instrumentación de Laboratorio,Analizadores de espectro,+5 años,Avanzado
Electrónica,Instrumentación de Laboratorio,Generadores de funciones,+10 años,Experto
Electrónica,Instrumentación de Laboratorio,Multímetros,+20 años,Experto
Electrónica,Instrumentación de Laboratorio,SDR,+5 años,Avanzado
Electrónica,Antenas / RF,"Diseño, modelado, medición (GNU Radio, MMANA-GAL)",+5 años,Avanzado
